sex,educ,cause,mx,age,year
Females,Higher,All,0.22586649491180388,94,2020-2021
Females,Higher,All,0.2374595160181831,95,2016-2019
Females,Higher,All,0.2535764031673753,95,2020-2021
Females,Higher,All,0.2662138382630332,96,2016-2019
Females,Higher,All,0.28428234299505695,96,2020-2021
Females,Higher,All,0.29823811911808995,97,2016-2019
Females,Higher,All,0.31848018054402805,97,2020-2021
Females,Higher,All,0.33411394645276454,98,2016-2019
Females,Higher,All,0.356790977300996,98,2020-2021
Females,Higher,All,0.37456952165586965,99,2016-2019
Females,Higher,All,0.39999235924639304,99,2020-2021
Females,Higher,All,0.42051752566248457,100,2016-2019
Females,Higher,All,0.44905895292977854,100,2020-2021
Females,Higher,Blood,1.4975029489512688e-6,35,2016-2019
Females,Higher,Blood,1.5377913119384099e-6,35,2020-2021
Females,Higher,Blood,1.6430790322204318e-6,36,2016-2019
Females,Higher,Blood,1.6872839297887609e-6,36,2020-2021
Females,Higher,Blood,1.8013758593046752e-6,37,2016-2019
Females,Higher,Blood,1.8498395264692474e-6,37,2020-2021
Females,Higher,Blood,1.9729443094007663e-6,38,2016-2019
Females,Higher,Blood,2.0260238018626798e-6,38,2020-2021
Females,Higher,Blood,2.1582383426228914e-6,39,2016-2019
Females,Higher,Blood,2.216302929287813e-6,39,2020-2021
Females,Higher,Blood,2.357586065690605e-6,40,2016-2019
Females,Higher,Blood,2.421013842747396e-6,40,2020-2021
Females,Higher,Blood,2.5711580210494397e-6,41,2016-2019
Females,Higher,Blood,2.6403316729089456e-6,41,2020-2021
Females,Higher,Blood,2.7989331641009316e-6,42,2016-2019
Females,Higher,Blood,2.8742348089965334e-6,42,2020-2021
Females,Higher,Blood,3.040663209915537e-6,43,2016-2019
Females,Higher,Blood,3.1224682862985343e-6,43,2020-2021
Females,Higher,Blood,3.2958362705550424e-6,44,2016-2019
Females,Higher,Blood,3.3845064451996384e-6,44,2020-2021
Females,Higher,Blood,3.563803674677246e-6,45,2016-2019
Females,Higher,Blood,3.6596831627015305e-6,45,2020-2021
Females,Higher,Blood,3.8451086661097e-6,46,2016-2019
Females,Higher,Blood,3.948556297898156e-6,46,2020-2021
Females,Higher,Blood,4.1412295663316356e-6,47,2016-2019
Females,Higher,Blood,4.252643944579299e-6,47,2020-2021
Females,Higher,Blood,4.454055152909104e-6,48,2016-2019
Females,Higher,Blood,4.573885695407078e-6,48,2020-2021
Females,Higher,Blood,4.785939737494458e-6,49,2016-2019
Females,Higher,Blood,4.914699201717078e-6,49,2020-2021
Females,Higher,Blood,5.1397733351303735e-6,50,2016-2019
Females,Higher,Blood,5.2780522306359736e-6,50,2020-2021
Females,Higher,Blood,5.519065755890649e-6,51,2016-2019
Females,Higher,Blood,5.6675490190982046e-6,51,2020-2021
Females,Higher,Blood,5.928049002166988e-6,52,2016-2019
Females,Higher,Blood,6.087535425998153e-6,52,2020-2021
Females,Higher,Blood,6.37180345683442e-6,53,2016-2019
Females,Higher,Blood,6.543228515283515e-6,53,2020-2021
Females,Higher,Blood,6.856414303358781e-6,54,2016-2019
Females,Higher,Blood,7.040877184341684e-6,54,2020-2021
Females,Higher,Blood,7.389153840957414e-6,55,2016-2019
Females,Higher,Blood,7.587949384111971e-6,55,2020-2021
Females,Higher,Blood,7.978720918820023e-6,56,2016-2019
Females,Higher,Blood,8.193377994971782e-6,56,2020-2021
Females,Higher,Blood,8.635562548371175e-6,57,2016-2019
Females,Higher,Blood,8.86789109155741e-6,57,2020-2021
Females,Higher,Blood,9.372267417528145e-6,58,2016-2019
Females,Higher,Blood,9.624416044009558e-6,58,2020-2021
Females,Higher,Blood,1.0204066293946628e-5,59,2016-2019
Females,Higher,Blood,1.0478593383915502e-5,59,2020-2021
Females,Higher,Blood,1.114947241843667e-5,60,2016-2019
Females,Higher,Blood,1.144943442667423e-5,60,2020-2021
Females,Higher,Blood,1.223110498755118e-5,61,2016-2019
Females,Higher,Blood,1.2560166908809758e-5,61,2020-2021
Females,Higher,Blood,1.3476753510971967e-5,62,2016-2019
Females,Higher,Blood,1.3839327980503734e-5,62,2020-2021
Females,Higher,Blood,1.4920755470437452e-5,63,2016-2019
