educ,year,st_Females,st_Males
Higher,2016-2019,0.5006474153250974,0.37752859419120777
Higher,2020-2021,0.4936017794936972,0.3812844414401852
Primary,2016-2019,0.08736055927738577,0.10221446873975754
Primary,2020-2021,0.07885656961316051,0.08061844943133649
Secondary,2016-2019,0.41199202539751695,0.5202569370690346
Secondary,2020-2021,0.4275416508931422,0.5380971091284784
